Date,Value_1,Value_2,Value_3
03-01-2000,1620.18,6663.0,1821.9
03-02-2000,1583.57,6645.5,1821.9
03-03-2000,1552.67,6699.7,1842.7
03-04-2000,1587.37,6561.5,1853.2
03-05-2000,1615.82,6623.7,1853.2
03-06-2000,1574.53,6790.9,1884.4
03-07-2000,1522.37,6897.6,1884.4
03-08-2000,1532.01,6928.3,1863.6
03-09-2000,1533.29,6880.5,1879.2
03-10-2000,1538.39,6928.1,1863.6
03-11-2000,1520.62,6895.1,1863.6
03-12-2000,1467.42,6938.1,1863.6
03-13-2000,1429.94,6842.6,1868.8
03-14-2000,1421.59,6917.3,1879.2
03-15-2000,1411.5,7062.6,1879.2
03-16-2000,1381.84,7167.3,1884.4
03-17-2000,1374.42,7262.0,1889.6
03-18-2000,1422.88,7256.0,1894.8
03-19-2000,1429.82,7354.2,1894.8
03-20-2000,1434.97,7437.8,1915.6
03-21-2000,1372.67,7504.3,1915.6
03-22-2000,1377.79,7635.0,1900.0
03-23-2000,1383.18,7567.7,1900.0
03-24-2000,1362.91,7796.2,1915.6
03-25-2000,1416.95,7695.1,1889.6
03-26-2000,1393.95,7729.6,1910.4
03-27-2000,1324.34,7863.0,1910.4
03-28-2000,1258.92,7884.7,1894.8
03-29-2000,1286.35,7820.8,1905.2
03-30-2000,1258.75,7913.7,1905.2
03-31-2000,1279.13,7992.3,1915.6
04-01-2000,1278.13,8045.5,1910.4
04-02-2000,1230.2,8260.6,1910.4
04-03-2000,1201.04,8515.8,1910.4
04-04-2000,1194.81,8550.3,1900.0
04-05-2000,1095.32,8492.9,1900.0
04-06-2000,1090.08,8554.9,1900.0
04-07-2000,1060.0,8762.9,1894.8
04-08-2000,1085.2,8874.6,1905.2
04-09-2000,1073.45,8840.0,1900.0
04-10-2000,1053.92,8790.7,1900.0
04-11-2000,1022.45,8924.9,1900.0
04-12-2000,1013.95,8958.3,1900.0
04-13-2000,1027.39,8925.0,1900.0
04-14-2000,1040.03,9082.4,1915.6
04-15-2000,999.8,9126.7,1915.6
04-16-2000,979.61,8963.9,1920.8
04-17-2000,971.12,8875.7,1920.8
04-18-2000,960.19,9163.9,1920.8
04-19-2000,1004.9,9191.6,1939.2
04-20-2000,1047.32,9175.5,1939.2
04-21-2000,1040.87,9353.0,1923.6
04-22-2000,1105.28,9534.8,1915.6
04-23-2000,1107.45,9237.8,1910.4
04-24-2000,1110.01,9091.3,1915.6
04-25-2000,1107.77,9197.2,1920.8
04-26-2000,1069.57,9204.3,1920.8
04-27-2000,1044.17,9212.4,1920.8
04-28-2000,1055.59,8691.4,1926.0
04-29-2000,1070.13,8426.4,1920.8
04-30-2000,1055.45,8261.8,1915.6
05-01-2000,1036.51,7879.8,1926.0
05-02-2000,1049.42,8572.9,1931.2
05-03-2000,1105.34,8443.2,1926.0
05-04-2000,1121.07,8755.1,1926.0
05-05-2000,1163.74,8525.3,1936.4
05-06-2000,1115.72,8645.4,1920.8
05-07-2000,1097.5,8898.1,1920.8
05-08-2000,1068.24,8442.5,1920.8
05-09-2000,1055.87,8297.4,1920.8
05-10-2000,1070.24,8304.6,1905.2
05-11-2000,1082.57,8275.9,1905.2
05-12-2000,1074.83,7961.3,1900.0
05-13-2000,1047.83,8188.2,1931.2
05-14-2000,1008.54,8432.6,1920.8
05-15-2000,1017.36,8391.2,1920.8
05-16-2000,1041.13,8384.2,1920.8
05-17-2000,1040.17,8372.6,1920.8
05-18-2000,1074.32,8396.2,1920.8
05-19-2000,1088.15,8498.2,1920.8
05-20-2000,1075.53,8385.8,1920.8
05-21-2000,1099.58,8311.0,1920.8
05-22-2000,1101.51,8217.6,1920.8
05-23-2000,1119.44,8393.3,1920.8
05-24-2000,1116.52,8711.2,1920.8
05-25-2000,1144.02,8862.7,1920.8
05-26-2000,1166.55,9177.0,1920.8
05-27-2000,1156.53,9231.7,1900.0
05-28-2000,1186.13,9143.2,1920.8
05-29-2000,1164.02,9071.0,1920.8
05-30-2000,1175.73,9108.4,1920.8
05-31-2000,1174.14,9293.2,1920.8
06-01-2000,1193.68,9271.9,1920.8
06-02-2000,1200.07,9086.5,1920.8
06-03-2000,1210.85,8805.1,1920.8
06-04-2000,1179.9,8747.2,1920.8
06-05-2000,1168.46,8456.3,1920.8
06-06-2000,1128.49,8435.9,1915.6
06-07-2000,1054.58,8183.8,1915.6
06-08-2000,1020.8,8179.3,1915.6
06-09-2000,1033.43,8081.4,1905.2
06-10-2000,1030.49,8388.8,1905.2
06-11-2000,1019.08,8358.2,1905.2
06-12-2000,1006.34,8524.2,1900.0
06-13-2000,1015.6,8693.6,1900.0
06-14-2000,1002.03,8618.1,1894.8
06-15-2000,998.05,8824.9,1894.8
06-16-2000,1006.5,8803.9,1894.8
06-17-2000,994.31,8605.0,1894.8
06-18-2000,989.53,8514.1,1894.8
06-19-2000,992.86,8523.9,1894.8
06-20-2000,975.63,8573.4,1894.8
06-21-2000,955.38,8746.0,1900.0
06-22-2000,937.97,8717.7,1905.2
06-23-2000,923.52,8824.9,1905.2
06-24-2000,923.41,8902.8,1894.8
06-25-2000,937.81,9016.4,1894.8
06-26-2000,920.31,8977.3,1894.8
06-27-2000,931.86,8974.8,1894.8
06-28-2000,959.63,8919.4,1894.8
06-29-2000,950.7,9191.5,1894.8
06-30-2000,953.69,9281.5,1894.8
07-01-2000,949.74,9272.4,1894.8
07-02-2000,945.86,9312.0,1894.8
07-03-2000,969.12,9358.2,1894.8
07-04-2000,991.71,9458.9,1894.8
07-05-2000,1007.11,9275.6,1894.8
07-06-2000,1009.52,8960.6,1878.3
07-07-2000,1020.26,8972.6,1878.3
07-08-2000,1024.91,9085.1,1878.3
07-09-2000,1020.59,9010.2,1878.3
07-10-2000,1077.71,9240.9,1878.3
07-11-2000,1082.18,9230.4,1878.3
07-12-2000,1088.11,9108.6,1878.3
07-13-2000,1075.96,8876.3,1878.3
07-14-2000,1077.29,8900.1,1878.3
07-15-2000,1067.86,8689.4,1878.3
07-16-2000,1064.5,8597.8,1878.3
07-17-2000,1055.61,8698.8,1878.3
07-18-2000,1072.2,8717.1,1878.3
07-19-2000,1083.54,8755.1,1861.7
07-20-2000,1078.42,8739.6,1878.3
07-21-2000,1069.23,9091.0,1878.3
07-22-2000,1047.8,9351.0,1878.3
07-23-2000,998.44,9386.0,1944.4
07-24-2000,992.3,9390.8,1960.9
07-25-2000,969.78,9290.2,1960.9
07-26-2000,982.4,9441.5,2043.5
07-27-2000,982.54,9553.7,1993.9
07-28-2000,983.16,9618.7,1993.9
07-29-2000,988.47,9781.9,1993.9
07-30-2000,1010.93,9720.5,2043.5
07-31-2000,1003.2,9719.8,2043.5
08-01-2000,1022.74,9711.7,2043.5
08-02-2000,1040.4,9817.5,1960.9
08-03-2000,1027.74,9885.5,1960.9
08-04-2000,1027.64,9923.1,1960.9
08-05-2000,1019.45,9696.7,1960.9
08-06-2000,1026.73,9489.5,1960.9
08-07-2000,1034.52,9744.7,1960.9
08-08-2000,1028.98,9674.8,1960.9
08-09-2000,1038.2,9950.0,1960.9
08-10-2000,1042.69,9989.3,1911.3
08-11-2000,1031.77,10057.7,1927.8
08-12-2000,1021.45,10123.6,1944.4
08-13-2000,1026.32,9982.0,1960.9
08-14-2000,1031.06,10164.7,1993.9
08-15-2000,1022.98,10227.1,2010.5
08-16-2000,1051.19,10269.7,1993.9
08-17-2000,1060.44,10269.8,1977.4
08-18-2000,1057.17,10387.3,1960.9
08-19-2000,1086.79,10300.9,1993.9
08-20-2000,1080.51,10497.8,2027.0
08-21-2000,1083.86,10325.3,2060.0
08-22-2000,1048.32,10178.1,2142.7
08-23-2000,1042.52,10046.8,2175.7
08-24-2000,1029.04,9964.0,2208.8
08-25-2000,1042.2,10095.7,2274.9
08-26-2000,1034.8,10154.0,2258.3
08-27-2000,1036.69,10057.7,2341.0
08-28-2000,1035.67,10278.5,2324.4
08-29-2000,989.65,10187.8,2291.4
