Date,Value_1,Value_2,Value_3
10-02-2014,1000.12,5406.9,4532.8
10-03-2014,1008.88,5432.8,4506.7
10-04-2014,1013.72,5465.8,4516.3
10-05-2014,1014.89,5457.5,4534.4
10-06-2014,1022.11,5490.7,4518.1
10-07-2014,1027.55,5453.0,4472.3
10-08-2014,1027.75,5386.8,4492.7
10-09-2014,1025.45,5418.3,4480.7
10-10-2014,1025.11,5444.0,4460.0
10-11-2014,1028.25,5389.7,4463.9
10-12-2014,1032.18,5444.2,4421.2
10-13-2014,1033.06,5441.6,4455.6
10-14-2014,1032.77,5431.3,4483.9
10-15-2014,1034.99,5429.6,4553.6
10-16-2014,1042.63,5451.3,4528.7
10-17-2014,1034.11,5408.9,4541.7
10-18-2014,1044.99,5488.8,4527.3
10-19-2014,1048.54,5431.3,4515.0
10-20-2014,1054.86,5342.6,4489.8
10-21-2014,1053.67,5248.9,4445.6
10-22-2014,1049.41,5275.6,4460.8
10-23-2014,1048.51,5242.1,4389.2
10-24-2014,1042.76,5177.3,4388.1
10-25-2014,1042.07,5111.4,4258.0
10-26-2014,1041.96,5169.9,4299.6
10-27-2014,1048.44,5277.7,4072.4
10-28-2014,1051.23,5253.6,4190.7
10-29-2014,1049.81,5247.2,4112.2
10-30-2014,1040.91,5253.3,4287.3
10-31-2014,1041.63,5304.1,4262.3
11-01-2014,1042.78,5320.5,4416.1
11-02-2014,1052.96,5314.4,4400.8
11-03-2014,1058.15,5378.4,4437.0
11-04-2014,1058.87,5392.8,4379.1
11-05-2014,1069.35,5405.4,4344.8
11-06-2014,1079.37,5391.0,4342.0
11-07-2014,1082.93,5426.7,4417.3
11-08-2014,1083.2,5363.4,4512.1
11-09-2014,1083.0,5407.6,4445.5
11-10-2014,1086.08,5443.2,4432.7
11-11-2014,1081.37,5484.6,4516.5
11-12-2014,1089.57,5425.7,4514.7
11-13-2014,1093.87,5456.2,4544.6
11-14-2014,1088.23,5458.9,4515.4
11-15-2014,1077.53,5526.2,4464.5
11-16-2014,1077.67,5490.3,4441.6
11-17-2014,1076.53,5424.8,4486.3
11-18-2014,1085.76,5403.1,4485.8
11-19-2014,1089.88,5449.1,4396.1
11-20-2014,1088.39,5352.5,4436.4
11-21-2014,1090.54,5369.9,4456.8
11-22-2014,1094.16,5434.5,4486.9
11-23-2014,1092.77,5420.2,4549.2
11-24-2014,1095.12,5381.7,4599.5
11-25-2014,1091.77,5428.1,4579.2
11-26-2014,1092.6,5391.8,4643.9
11-27-2014,1096.33,5374.5,4568.3
11-28-2014,1099.14,5361.3,4491.0
11-29-2014,1099.28,5331.0,4537.5
11-30-2014,1103.55,5342.7,4575.3
12-01-2014,1100.85,5361.5,4583.9
12-02-2014,1100.5,5373.1,4544.8
12-03-2014,1104.2,5403.8,4618.0
12-04-2014,1108.22,5395.5,4563.9
12-05-2014,1103.32,5424.1,4461.7
12-06-2014,1107.38,5422.0,4437.1
12-07-2014,1109.9,5416.5,4431.4
12-08-2014,1111.02,5540.7,4505.1
12-09-2014,1102.57,5454.4,4528.1
12-10-2014,1104.84,5485.0,4613.8
