Date,Value_1,Value_2,Value_3
02-14-2011,9080.0,7725.0,6800.0
02-15-2011,9050.0,7725.0,6800.0
02-16-2011,9000.0,7725.0,6800.0
02-17-2011,9000.0,7725.0,6800.0
02-18-2011,9000.0,7700.0,6800.0
02-19-2011,8900.0,7700.0,6800.0
02-20-2011,8800.0,7700.0,6800.0
02-21-2011,8820.0,7700.0,6750.0
02-22-2011,8900.0,7690.0,6750.0
02-23-2011,8900.0,7400.0,6750.0
02-24-2011,8900.0,7350.0,6740.0
02-25-2011,8900.0,7350.0,6740.0
02-26-2011,8920.0,7350.0,6740.0
02-27-2011,9000.0,7400.0,6740.0
02-28-2011,8990.0,7450.0,6740.0
03-01-2011,9000.0,7450.0,6750.0
03-02-2011,9000.0,7450.0,6750.0
03-03-2011,9000.0,7500.0,6760.0
03-04-2011,9000.0,7500.0,6760.0
03-05-2011,8950.0,7500.0,6760.0
03-06-2011,8800.0,7500.0,6760.0
03-07-2011,8790.0,7600.0,6770.0
03-08-2011,8900.0,7600.0,6750.0
03-09-2011,9050.0,7600.0,6750.0
03-10-2011,9100.0,7580.0,6765.0
03-11-2011,9150.0,7580.0,6715.0
03-12-2011,9150.0,7580.0,6715.0
03-13-2011,9185.0,7580.0,6767.5
03-14-2011,9200.0,7547.5,6767.5
03-15-2011,9250.0,7547.5,6765.0
03-16-2011,9250.0,7547.5,6720.0
03-17-2011,9300.0,7547.5,6740.0
03-18-2011,9350.0,7620.0,6760.0
03-19-2011,9500.0,7600.0,6757.5
03-20-2011,9520.0,7750.0,6760.0
03-21-2011,9475.0,7740.0,6752.5
03-22-2011,9400.0,7720.0,6755.0
03-23-2011,9450.0,7720.0,6690.0
03-24-2011,9475.0,7720.0,6670.0
03-25-2011,9525.0,7700.0,6650.0
03-26-2011,9550.0,7637.5,6690.0
03-27-2011,9450.0,7630.0,6695.0
03-28-2011,9450.0,7470.0,6730.0
03-29-2011,9430.0,7470.0,6725.0
03-30-2011,9470.0,7575.0,6720.0
03-31-2011,9470.0,7560.0,6710.0
04-01-2011,9470.0,7597.5,6770.0
04-02-2011,9400.0,7597.5,6780.0
04-03-2011,9400.0,7597.5,6760.0
04-04-2011,9280.0,7597.5,6760.0
04-05-2011,9240.0,7620.0,6760.0
04-06-2011,9260.0,7540.0,6772.5
