Date,Value
06-30-2009,1052.5
07-01-2009,1067.6
07-02-2009,1050.6
07-03-2009,1041.8
07-04-2009,1046.7
07-05-2009,1022.6
07-06-2009,1030.4
07-07-2009,1024.3
07-08-2009,1035.3
07-09-2009,1040.5
07-10-2009,1063.1
07-11-2009,1057.3
07-12-2009,1064.0
07-13-2009,1075.7
07-14-2009,1066.5
07-15-2009,1074.2
07-16-2009,1079.6
07-17-2009,1077.3
07-18-2009,1081.1
07-19-2009,1063.7
07-20-2009,1054.7
07-21-2009,1064.3
07-22-2009,1079.8
07-23-2009,1090.0
07-24-2009,1103.8
07-25-2009,1097.4
07-26-2009,1098.8
07-27-2009,1104.5
07-28-2009,1088.6
07-29-2009,1084.2
07-30-2009,1088.7
07-31-2009,1088.0
08-01-2009,1072.8
08-02-2009,1055.0
08-03-2009,1062.6
08-04-2009,1068.6
08-05-2009,1063.8
08-06-2009,1080.8
08-07-2009,1067.8
08-08-2009,1071.7
08-09-2009,1068.0
08-10-2009,1069.1
08-11-2009,1081.8
08-12-2009,1073.6
08-13-2009,1074.1
08-14-2009,1095.6
08-15-2009,1116.0
08-16-2009,1118.9
08-17-2009,1122.0
08-18-2009,1120.6
08-19-2009,1115.7
08-20-2009,1125.1
08-21-2009,1121.1
08-22-2009,1130.6
08-23-2009,1147.3
08-24-2009,1138.7
08-25-2009,1137.7
08-26-2009,1130.9
08-27-2009,1143.6
08-28-2009,1142.2
08-29-2009,1120.2
08-30-2009,1111.3
08-31-2009,1113.2
09-01-2009,1112.4
09-02-2009,1128.3
09-03-2009,1113.9
09-04-2009,1117.5
09-05-2009,1131.4
09-06-2009,1159.2
09-07-2009,1160.9
09-08-2009,1175.8
09-09-2009,1174.9
09-10-2009,1183.8
09-11-2009,1189.2
09-12-2009,1200.0
09-13-2009,1175.8
09-14-2009,1179.2
09-15-2009,1185.3
09-16-2009,1182.0
09-17-2009,1191.3
09-18-2009,1185.5
09-19-2009,1185.7
09-20-2009,1173.4
09-21-2009,1161.4
09-22-2009,1153.0
09-23-2009,1174.9
09-24-2009,1164.5
09-25-2009,1178.8
09-26-2009,1214.9
09-27-2009,1220.2
09-28-2009,1221.0
09-29-2009,1224.9
09-30-2009,1230.5
10-01-2009,1232.1
10-02-2009,1245.3
10-03-2009,1237.3
10-04-2009,1247.5
10-05-2009,1269.0
10-06-2009,1267.6
10-07-2009,1268.2
10-08-2009,1267.6
10-09-2009,1272.0
10-10-2009,1292.2
10-11-2009,1292.0
10-12-2009,1313.5
10-13-2009,1296.6
10-14-2009,1303.3
10-15-2009,1323.2
10-16-2009,1339.6
10-17-2009,1348.6
10-18-2009,1302.5
10-19-2009,1292.5
10-20-2009,1265.9
10-21-2009,1241.5
10-22-2009,1248.5
10-23-2009,1243.5
10-24-2009,1250.7
10-25-2009,1252.7
10-26-2009,1264.7
10-27-2009,1230.2
10-28-2009,1236.0
10-29-2009,1223.1
10-30-2009,1218.6
10-31-2009,1228.0
11-01-2009,1242.6
11-02-2009,1248.5
11-03-2009,1239.0
11-04-2009,1229.6
11-05-2009,1236.3
11-06-2009,1258.1
11-07-2009,1253.2
11-08-2009,1275.7
11-09-2009,1280.0
11-10-2009,1276.1
11-11-2009,1300.0
11-12-2009,1260.6
11-13-2009,1268.6
11-14-2009,1270.8
11-15-2009,1253.5
11-16-2009,1263.0
11-17-2009,1231.8
11-18-2009,1220.2
11-19-2009,1205.7
11-20-2009,1211.9
11-21-2009,1214.1
11-22-2009,1199.0
11-23-2009,1199.4
11-24-2009,1198.1
11-25-2009,1221.5
11-26-2009,1235.1
11-27-2009,1231.1
11-28-2009,1173.6
11-29-2009,1159.4
11-30-2009,1177.1
12-01-2009,1190.7
12-02-2009,1192.8
12-03-2009,1214.0
12-04-2009,1206.6
12-05-2009,1237.6
12-06-2009,1239.9
12-07-2009,1241.0
12-08-2009,1248.7
12-09-2009,1236.3
12-10-2009,1222.3
12-11-2009,1213.7
12-12-2009,1223.3
12-13-2009,1232.2
12-14-2009,1232.4
12-15-2009,1253.1
12-16-2009,1260.4
12-17-2009,1249.6
12-18-2009,1255.1
12-19-2009,1243.7
12-20-2009,1240.8
12-21-2009,1224.7
12-22-2009,1225.5
12-23-2009,1219.3
12-24-2009,1223.8
12-25-2009,1242.2
12-26-2009,1243.0
12-27-2009,1247.9
12-28-2009,1227.7
12-29-2009,1218.0
12-30-2009,1220.9
12-31-2009,1208.0
01-01-2010,1213.8
01-02-2010,1224.3
01-03-2010,1232.8
01-04-2010,1226.4
01-05-2010,1234.9
01-06-2010,1250.3
01-07-2010,1265.9
01-08-2010,1267.2
01-09-2010,1281.6
01-10-2010,1279.5
01-11-2010,1291.3
01-12-2010,1289.2
01-13-2010,1278.4
01-14-2010,1286.1
01-15-2010,1286.4
01-16-2010,1256.4
01-17-2010,1255.6
01-18-2010,1261.9
01-19-2010,1271.6
01-20-2010,1266.0
01-21-2010,1280.5
01-22-2010,1280.3
01-23-2010,1285.0
01-24-2010,1302.9
01-25-2010,1294.0
01-26-2010,1303.6
01-27-2010,1309.6
01-28-2010,1292.2
01-29-2010,1296.1
01-30-2010,1318.3
01-31-2010,1330.6
02-01-2010,1321.5
02-02-2010,1345.1
02-03-2010,1366.9
02-04-2010,1352.3
02-05-2010,1346.6
02-06-2010,1345.0
02-07-2010,1330.0
02-08-2010,1305.3
02-09-2010,1295.6
02-10-2010,1283.1
02-11-2010,1305.6
02-12-2010,1311.1
02-13-2010,1332.9
02-14-2010,1334.7
02-15-2010,1333.0
02-16-2010,1345.9
02-17-2010,1343.4
02-18-2010,1331.8
02-19-2010,1334.1
02-20-2010,1359.6
02-21-2010,1363.8
02-22-2010,1346.5
02-23-2010,1339.9
02-24-2010,1348.4
02-25-2010,1343.1
02-26-2010,1352.6
02-27-2010,1345.5
02-28-2010,1360.5
03-01-2010,1370.0
03-02-2010,1350.1
03-03-2010,1349.7
03-04-2010,1341.5
03-05-2010,1355.3
03-06-2010,1364.8
03-07-2010,1342.9
03-08-2010,1344.9
03-09-2010,1349.6
03-10-2010,1307.1
03-11-2010,1308.8
03-12-2010,1293.7
03-13-2010,1295.4
03-14-2010,1293.8
03-15-2010,1310.1
03-16-2010,1297.7
03-17-2010,1315.4
03-18-2010,1306.4
03-19-2010,1303.5
03-20-2010,1277.7
03-21-2010,1271.0
03-22-2010,1280.6
03-23-2010,1280.7
03-24-2010,1282.4
03-25-2010,1274.7
03-26-2010,1271.9
03-27-2010,1245.4
03-28-2010,1244.6
03-29-2010,1249.8
03-30-2010,1260.2
03-31-2010,1261.5
04-01-2010,1260.8
04-02-2010,1272.5
04-03-2010,1273.3
04-04-2010,1278.6
04-05-2010,1277.1
04-06-2010,1271.8
04-07-2010,1269.4
04-08-2010,1289.5
04-09-2010,1290.3
04-10-2010,1298.3
04-11-2010,1300.0
04-12-2010,1302.2
04-13-2010,1305.3
04-14-2010,1299.4
04-15-2010,1298.9
04-16-2010,1300.4
04-17-2010,1309.7
04-18-2010,1305.6
04-19-2010,1307.1
04-20-2010,1305.9
04-21-2010,1316.3
04-22-2010,1317.1
04-23-2010,1323.2
04-24-2010,1323.3
04-25-2010,1328.3
04-26-2010,1327.9
04-27-2010,1324.2
04-28-2010,1321.1
04-29-2010,1319.6
04-30-2010,1341.5
05-01-2010,1337.9
05-02-2010,1344.5
05-03-2010,1348.3
05-04-2010,1351.8
05-05-2010,1343.0
05-06-2010,1358.6
05-07-2010,1364.4
05-08-2010,1367.7
05-09-2010,1364.9
05-10-2010,1373.3
05-11-2010,1376.5
05-12-2010,1377.6
05-13-2010,1387.7
05-14-2010,1384.4
05-15-2010,1408.8
05-16-2010,1413.8
05-17-2010,1399.0
05-18-2010,1406.7
05-19-2010,1417.2
05-20-2010,1410.2
05-21-2010,1435.9
05-22-2010,1444.1
05-23-2010,1437.0
05-24-2010,1435.7
05-25-2010,1396.3
05-26-2010,1403.2
05-27-2010,1383.5
05-28-2010,1384.3
05-29-2010,1399.0
05-30-2010,1402.8
05-31-2010,1388.2
06-01-2010,1405.5
06-02-2010,1418.8
06-03-2010,1410.8
06-04-2010,1418.4
06-05-2010,1398.1
06-06-2010,1441.7
06-07-2010,1459.9
06-08-2010,1468.3
06-09-2010,1481.3
06-10-2010,1473.9
06-11-2010,1480.6
06-12-2010,1440.4
06-13-2010,1444.4
06-14-2010,1417.1
06-15-2010,1412.3
06-16-2010,1430.8
06-17-2010,1429.4
06-18-2010,1433.0
06-19-2010,1449.5
06-20-2010,1451.4
06-21-2010,1440.4
