Date,Value
10-09-2007,1298.2
10-10-2007,1307.0
10-11-2007,1309.1
10-12-2007,1304.3
10-13-2007,1303.4
10-14-2007,1306.8
10-15-2007,1309.9
10-16-2007,1311.8
10-17-2007,1329.9
10-18-2007,1345.1
10-19-2007,1350.8
10-20-2007,1353.3
10-21-2007,1390.5
10-22-2007,1347.3
10-23-2007,1361.2
10-24-2007,1370.7
10-25-2007,1389.6
10-26-2007,1375.0
10-27-2007,1381.4
10-28-2007,1399.8
10-29-2007,1420.9
10-30-2007,1413.5
10-31-2007,1422.7
11-01-2007,1421.7
11-02-2007,1433.0
11-03-2007,1440.4
11-04-2007,1441.4
11-05-2007,1432.6
11-06-2007,1445.8
11-07-2007,1435.8
11-08-2007,1446.5
11-09-2007,1461.9
11-10-2007,1461.9
11-11-2007,1436.1
11-12-2007,1442.8
11-13-2007,1429.9
11-14-2007,1554.4
11-15-2007,1558.5
11-16-2007,1554.2
11-17-2007,1539.3
11-18-2007,1568.7
11-19-2007,1566.5
11-20-2007,1571.9
11-21-2007,1578.6
11-22-2007,1593.2
11-23-2007,1594.0
11-24-2007,1575.5
11-25-2007,1570.4
11-26-2007,1573.3
11-27-2007,1555.0
11-28-2007,1555.0
11-29-2007,1562.4
11-30-2007,1600.0
12-01-2007,1600.0
12-02-2007,1707.3
12-03-2007,1700.0
12-04-2007,1673.4
12-05-2007,1723.1
12-06-2007,1755.7
12-07-2007,1783.1
12-08-2007,1773.4
12-09-2007,1806.7
12-10-2007,1839.1
12-11-2007,1850.0
12-12-2007,1925.3
12-13-2007,1912.4
12-14-2007,1945.0
12-15-2007,1965.1
12-16-2007,2048.1
12-17-2007,2048.1
12-18-2007,2150.0
12-19-2007,2110.0
12-20-2007,2125.8
12-21-2007,2150.7
12-22-2007,2144.0
12-23-2007,2154.0
12-24-2007,2157.1
12-25-2007,2144.2
12-26-2007,2171.7
12-27-2007,2171.2
12-28-2007,2288.0
12-29-2007,2246.9
12-30-2007,2245.9
12-31-2007,2103.9
01-01-2008,1975.0
01-02-2008,2073.8
01-03-2008,2060.0
01-04-2008,2116.0
01-05-2008,2112.0
01-06-2008,2124.0
01-07-2008,1960.0
01-08-2008,1974.1
01-09-2008,1895.9
01-10-2008,1882.7
01-11-2008,1952.3
01-12-2008,2000.0
01-13-2008,2010.0
01-14-2008,2010.0
01-15-2008,2034.6
01-16-2008,1915.9
01-17-2008,1958.4
01-18-2008,2017.4
01-19-2008,1996.0
01-20-2008,2033.0
01-21-2008,2042.0
01-22-2008,2026.2
01-23-2008,2049.7
01-24-2008,2010.0
01-25-2008,1995.0
01-26-2008,2008.9
01-27-2008,2029.1
01-28-2008,2067.2
01-29-2008,2050.0
01-30-2008,2043.0
01-31-2008,2008.0
02-01-2008,2011.7
02-02-2008,1990.2
02-03-2008,1972.0
02-04-2008,1976.0
02-05-2008,1941.9
02-06-2008,1922.8
02-07-2008,1887.0
02-08-2008,1879.6
02-09-2008,1930.6
02-10-2008,1955.5
02-11-2008,1948.1
02-12-2008,2004.5
02-13-2008,2080.0
02-14-2008,2060.5
02-15-2008,2054.3
02-16-2008,2055.2
02-17-2008,2030.5
02-18-2008,2072.0
02-19-2008,2150.0
02-20-2008,2150.9
02-21-2008,2165.0
02-22-2008,2196.4
02-23-2008,2179.5
02-24-2008,2172.2
02-25-2008,2069.4
02-26-2008,2015.4
02-27-2008,2010.9
02-28-2008,2013.1
02-29-2008,2019.7
03-01-2008,1997.5
03-02-2008,1986.4
03-03-2008,2024.0
03-04-2008,2056.9
03-05-2008,2025.5
03-06-2008,2008.9
03-07-2008,2054.4
03-08-2008,2040.0
03-09-2008,2040.0
03-10-2008,2070.0
03-11-2008,2075.0
03-12-2008,2095.5
03-13-2008,2054.0
03-14-2008,2075.0
03-15-2008,2055.0
03-16-2008,2020.1
03-17-2008,2021.0
03-18-2008,2069.8
03-19-2008,2069.9
03-20-2008,2070.5
03-21-2008,2084.0
03-22-2008,2075.5
03-23-2008,2034.0
03-24-2008,2024.4
03-25-2008,1983.8
03-26-2008,1952.5
03-27-2008,1972.2
03-28-2008,2018.7
03-29-2008,2049.9
03-30-2008,2029.9
03-31-2008,1985.0
