Date,Value
01-26-1988,1800.0
01-27-1988,1810.0
01-28-1988,1830.0
01-29-1988,1820.0
01-30-1988,1820.0
01-31-1988,1800.0
02-01-1988,1820.0
02-02-1988,1810.0
02-03-1988,1810.0
02-04-1988,1810.0
02-05-1988,1800.0
02-06-1988,1802.0
02-07-1988,1791.0
02-08-1988,1828.0
02-09-1988,1801.0
02-10-1988,1801.0
02-11-1988,1825.0
02-12-1988,1819.0
02-13-1988,1810.0
02-14-1988,1803.0
02-15-1988,1800.0
02-16-1988,1791.0
02-17-1988,1771.0
02-18-1988,1771.0
02-19-1988,1773.0
02-20-1988,1775.0
02-21-1988,1771.0
02-22-1988,1775.0
02-23-1988,1770.0
02-24-1988,1750.0
02-25-1988,1728.0
02-26-1988,1738.0
02-27-1988,1721.0
02-28-1988,1771.0
02-29-1988,1761.0
03-01-1988,1788.0
03-02-1988,1766.0
03-03-1988,1770.0
03-04-1988,1750.0
03-05-1988,1768.0
03-06-1988,1755.0
03-07-1988,1760.0
03-08-1988,1747.0
03-09-1988,1758.0
03-10-1988,1770.0
03-11-1988,1774.0
03-12-1988,1779.0
03-13-1988,1800.0
03-14-1988,1797.0
03-15-1988,1800.0
03-16-1988,1805.0
03-17-1988,1810.0
03-18-1988,1815.0
03-19-1988,1820.0
03-20-1988,1810.0
03-21-1988,1780.0
03-22-1988,1785.0
03-23-1988,1796.0
03-24-1988,1791.0
03-25-1988,1790.0
03-26-1988,1790.0
03-27-1988,1780.0
03-28-1988,1777.0
03-29-1988,1800.0
03-30-1988,1783.0
03-31-1988,1780.0
04-01-1988,1785.0
04-02-1988,1788.0
04-03-1988,1776.0
04-04-1988,1772.0
04-05-1988,1767.0
04-06-1988,1768.0
04-07-1988,1767.0
04-08-1988,1765.0
04-09-1988,1763.0
04-10-1988,1770.0
04-11-1988,1780.0
04-12-1988,1775.0
04-13-1988,1770.0
04-14-1988,1775.0
04-15-1988,1788.0
04-16-1988,1780.0
04-17-1988,1779.0
04-18-1988,1785.0
04-19-1988,1783.0
04-20-1988,1785.0
04-21-1988,1805.0
04-22-1988,1795.0
04-23-1988,1799.0
04-24-1988,1793.0
04-25-1988,1800.0
04-26-1988,1830.0
04-27-1988,1845.0
04-28-1988,1842.0
04-29-1988,1833.0
04-30-1988,1816.0
05-01-1988,1815.0
05-02-1988,1820.0
05-03-1988,1818.0
05-04-1988,1816.0
05-05-1988,1795.0
05-06-1988,1800.0
05-07-1988,1800.0
05-08-1988,1795.0
05-09-1988,1795.0
05-10-1988,1786.0
05-11-1988,1778.0
05-12-1988,1793.0
05-13-1988,1778.0
05-14-1988,1804.0
05-15-1988,1796.0
05-16-1988,1790.0
05-17-1988,1795.0
05-18-1988,1800.0
05-19-1988,1829.0
05-20-1988,1848.0
05-21-1988,1855.0
05-22-1988,1855.0
05-23-1988,1840.0
05-24-1988,1825.0
05-25-1988,1805.0
05-26-1988,1799.0
05-27-1988,1805.0
05-28-1988,1822.0
05-29-1988,1821.0
05-30-1988,1825.0
05-31-1988,1810.0
06-01-1988,1808.0
06-02-1988,1802.0
06-03-1988,1793.0
06-04-1988,1777.0
06-05-1988,1784.0
06-06-1988,1780.0
06-07-1988,1783.0
06-08-1988,1775.0
06-09-1988,1772.0
06-10-1988,1765.0
06-11-1988,1752.0
06-12-1988,1750.0
06-13-1988,1758.0
06-14-1988,1761.0
06-15-1988,1779.0
06-16-1988,1770.0
06-17-1988,1772.0
06-18-1988,1778.0
06-19-1988,1767.0
06-20-1988,1755.0
06-21-1988,1774.0
06-22-1988,1772.0
06-23-1988,1775.0
06-24-1988,1786.0
06-25-1988,1792.0
06-26-1988,1792.0
06-27-1988,1796.0
06-28-1988,1810.0
06-29-1988,1798.0
06-30-1988,1799.0
07-01-1988,1761.0
07-02-1988,1768.0
07-03-1988,1768.0
07-04-1988,1768.0
07-05-1988,1777.0
07-06-1988,1776.0
07-07-1988,1772.0
07-08-1988,1779.0
07-09-1988,1791.0
07-10-1988,1768.0
07-11-1988,1761.0
07-12-1988,1759.0
07-13-1988,1766.0
07-14-1988,1767.0
07-15-1988,1760.0
07-16-1988,1755.0
07-17-1988,1782.0
07-18-1988,1775.0
07-19-1988,1777.0
07-20-1988,1780.0
07-21-1988,1778.0
07-22-1988,1798.0
07-23-1988,1797.0
07-24-1988,1800.0
07-25-1988,1814.0
07-26-1988,1819.0
07-27-1988,1834.0
07-28-1988,1825.0
07-29-1988,1822.0
07-30-1988,1818.0
07-31-1988,1820.0
08-01-1988,1817.0
08-02-1988,1827.0
08-03-1988,1838.0
08-04-1988,1844.0
08-05-1988,1828.0
08-06-1988,1827.0
08-07-1988,1823.0
08-08-1988,1824.0
08-09-1988,1818.0
08-10-1988,1807.0
08-11-1988,1790.0
08-12-1988,1785.0
08-13-1988,1788.0
08-14-1988,1783.0
08-15-1988,1789.0
08-16-1988,1790.0
08-17-1988,1788.0
08-18-1988,1788.0
08-19-1988,1787.0
08-20-1988,1823.0
08-21-1988,1830.0
08-22-1988,1825.0
08-23-1988,1830.0
08-24-1988,1824.0
08-25-1988,1832.0
08-26-1988,1840.0
08-27-1988,1815.0
08-28-1988,1810.0
08-29-1988,1799.0
08-30-1988,1790.0
08-31-1988,1799.0
09-01-1988,1806.0
09-02-1988,1809.0
09-03-1988,1812.0
09-04-1988,1824.0
09-05-1988,1827.0
09-06-1988,1820.0
09-07-1988,1828.0
09-08-1988,1848.0
09-09-1988,1827.0
09-10-1988,1840.0
09-11-1988,1859.0
09-12-1988,1870.0
09-13-1988,1857.0
09-14-1988,1876.0
09-15-1988,1877.0
09-16-1988,1864.0
09-17-1988,1866.0
09-18-1988,1870.0
09-19-1988,1860.0
09-20-1988,1851.0
09-21-1988,1890.0
09-22-1988,1899.0
09-23-1988,1893.0
09-24-1988,1906.0
09-25-1988,1916.0
09-26-1988,1904.0
09-27-1988,1914.0
09-28-1988,1910.0
09-29-1988,1908.0
09-30-1988,1922.0
10-01-1988,1917.0
10-02-1988,1900.0
10-03-1988,1877.0
10-04-1988,1885.0
10-05-1988,1862.0
10-06-1988,1839.0
10-07-1988,1855.0
10-08-1988,1845.0
10-09-1988,1858.0
10-10-1988,1859.0
10-11-1988,1844.0
10-12-1988,1856.0
10-13-1988,1857.0
10-14-1988,1854.0
10-15-1988,1875.0
10-16-1988,1883.0
10-17-1988,1880.0
10-18-1988,1865.0
10-19-1988,1900.0
10-20-1988,1897.0
10-21-1988,1902.0
10-22-1988,1885.0
10-23-1988,1882.0
10-24-1988,1884.0
10-25-1988,1870.0
10-26-1988,
10-27-1988,
10-28-1988,
10-29-1988,
10-30-1988,
10-31-1988,
11-01-1988,
11-02-1988,
11-03-1988,
11-04-1988,
11-05-1988,
11-06-1988,
11-07-1988,
11-08-1988,
11-09-1988,
11-10-1988,
11-11-1988,
11-12-1988,
11-13-1988,
11-14-1988,
11-15-1988,
11-16-1988,
11-17-1988,
11-18-1988,
11-19-1988,
11-20-1988,
11-21-1988,
11-22-1988,
11-23-1988,
11-24-1988,
11-25-1988,
11-26-1988,
11-27-1988,
11-28-1988,
11-29-1988,
11-30-1988,
12-01-1988,
12-02-1988,
12-03-1988,
12-04-1988,
12-05-1988,
12-06-1988,
12-07-1988,
12-08-1988,
12-09-1988,
12-10-1988,
12-11-1988,
12-12-1988,
12-13-1988,
12-14-1988,
12-15-1988,
12-16-1988,
12-17-1988,
12-18-1988,
12-19-1988,
12-20-1988,
12-21-1988,
12-22-1988,
12-23-1988,
12-24-1988,
12-25-1988,
12-26-1988,
12-27-1988,
12-28-1988,
12-29-1988,
12-30-1988,
12-31-1988,
01-01-1989,
01-02-1989,
01-03-1989,
01-04-1989,
01-05-1989,
01-06-1989,
01-07-1989,
01-08-1989,
01-09-1989,
01-10-1989,
01-11-1989,
01-12-1989,
01-13-1989,
01-14-1989,
01-15-1989,
01-16-1989,
01-17-1989,
01-18-1989,
01-19-1989,
01-20-1989,
01-21-1989,
01-22-1989,
01-23-1989,
01-24-1989,
01-25-1989,
01-26-1989,
01-27-1989,
01-28-1989,
01-29-1989,
01-30-1989,
01-31-1989,
02-01-1989,
02-02-1989,
02-03-1989,
02-04-1989,
02-05-1989,
02-06-1989,
02-07-1989,
02-08-1989,
02-09-1989,
02-10-1989,
02-11-1989,
02-12-1989,
02-13-1989,
02-14-1989,
02-15-1989,
02-16-1989,
02-17-1989,
02-18-1989,
02-19-1989,
02-20-1989,
02-21-1989,
02-22-1989,
02-23-1989,
02-24-1989,
02-25-1989,
02-26-1989,
02-27-1989,
02-28-1989,
