Date,Value
12-29-1977,3000.0
12-30-1977,2990.0
12-31-1977,2945.0
01-01-1978,2977.5
01-02-1978,2952.5
01-03-1978,2960.0
01-04-1978,2960.0
01-05-1978,2990.0
01-06-1978,2990.0
01-07-1978,2990.0
01-08-1978,2990.0
01-09-1978,2965.0
01-10-1978,2950.0
01-11-1978,2940.0
01-12-1978,2930.0
01-13-1978,2940.0
01-14-1978,2940.0
01-15-1978,2935.0
01-16-1978,2927.5
01-17-1978,2907.5
01-18-1978,2915.0
01-19-1978,2900.0
01-20-1978,2855.0
01-21-1978,2855.0
01-22-1978,2865.0
01-23-1978,2865.0
01-24-1978,2867.5
01-25-1978,2840.0
01-26-1978,2825.0
01-27-1978,2820.0
01-28-1978,2812.5
01-29-1978,2822.5
01-30-1978,2822.5
01-31-1978,2820.0
02-01-1978,2780.0
02-02-1978,2790.0
02-03-1978,2800.0
02-04-1978,2785.0
02-05-1978,2757.5
02-06-1978,2727.5
02-07-1978,2710.0
02-08-1978,2710.0
02-09-1978,2730.0
02-10-1978,2730.0
02-11-1978,2780.0
02-12-1978,2770.0
02-13-1978,2810.0
02-14-1978,2832.5
02-15-1978,2842.5
02-16-1978,2790.0
02-17-1978,2882.5
02-18-1978,2920.0
02-19-1978,2960.0
02-20-1978,2960.0
02-21-1978,3070.0
02-22-1978,3080.0
02-23-1978,3000.0
02-24-1978,3010.0
02-25-1978,3002.5
02-26-1978,3075.0
02-27-1978,3050.0
02-28-1978,3045.0
03-01-1978,3060.0
03-02-1978,3160.0
03-03-1978,3155.0
03-04-1978,3240.0
03-05-1978,3267.5
03-06-1978,3227.5
03-07-1978,3240.0
03-08-1978,3315.0
03-09-1978,3300.0
03-10-1978,3277.5
03-11-1978,3182.5
03-12-1978,3250.0
03-13-1978,3300.0
03-14-1978,3280.0
03-15-1978,3287.5
03-16-1978,3250.0
03-17-1978,3242.5
03-18-1978,3180.0
03-19-1978,3090.0
03-20-1978,3115.0
03-21-1978,3080.0
03-22-1978,3107.5
03-23-1978,3085.0
03-24-1978,3035.0
03-25-1978,3000.0
03-26-1978,3030.0
03-27-1978,3055.0
03-28-1978,3065.0
03-29-1978,3037.5
03-30-1978,3035.0
03-31-1978,3065.0
04-01-1978,3080.0
04-02-1978,3175.0
04-03-1978,3230.0
04-04-1978,3200.0
04-05-1978,3195.0
04-06-1978,3185.0
04-07-1978,3162.5
04-08-1978,3230.0
04-09-1978,3262.5
04-10-1978,3255.0
04-11-1978,3260.0
04-12-1978,3315.0
04-13-1978,3305.0
04-14-1978,3240.0
04-15-1978,3220.0
04-16-1978,3205.0
04-17-1978,3230.0
04-18-1978,3217.5
04-19-1978,3185.0
04-20-1978,3175.0
04-21-1978,3107.5
04-22-1978,3070.0
04-23-1978,3070.0
04-24-1978,3117.5
04-25-1978,3280.0
04-26-1978,3250.0
04-27-1978,3195.0
04-28-1978,3175.0
04-29-1978,3165.0
04-30-1978,3165.0
05-01-1978,3157.5
05-02-1978,3157.5
05-03-1978,3100.0
05-04-1978,3085.0
05-05-1978,3090.0
05-06-1978,3137.5
05-07-1978,3170.0
05-08-1978,3205.0
05-09-1978,3187.5
05-10-1978,3192.5
05-11-1978,3160.0
05-12-1978,3155.0
05-13-1978,3130.0
05-14-1978,3120.0
05-15-1978,3110.0
05-16-1978,3095.0
05-17-1978,3060.0
05-18-1978,3077.5
05-19-1978,3125.0
05-20-1978,3105.0
05-21-1978,3052.5
05-22-1978,3070.0
05-23-1978,3070.0
05-24-1978,3067.5
05-25-1978,3035.0
05-26-1978,3030.0
05-27-1978,3000.0
05-28-1978,2992.5
05-29-1978,3002.5
05-30-1978,2977.5
05-31-1978,2942.5
06-01-1978,2957.5
06-02-1978,2975.0
06-03-1978,3005.0
06-04-1978,3082.5
06-05-1978,3082.5
06-06-1978,3070.0
06-07-1978,3087.5
06-08-1978,3120.0
06-09-1978,3085.0
06-10-1978,3067.5
06-11-1978,3082.5
06-12-1978,3125.0
06-13-1978,3137.5
06-14-1978,3105.0
06-15-1978,3090.0
06-16-1978,3115.0
06-17-1978,3125.0
06-18-1978,3142.5
06-19-1978,3130.0
06-20-1978,3140.0
06-21-1978,3155.0
06-22-1978,3147.5
06-23-1978,3147.5
06-24-1978,3135.0
06-25-1978,3160.0
06-26-1978,3155.0
06-27-1978,3125.0
06-28-1978,3120.0
06-29-1978,3120.0
06-30-1978,3160.0
07-01-1978,3165.0
07-02-1978,3175.0
07-03-1978,3200.0
07-04-1978,3187.5
07-05-1978,3190.0
07-06-1978,3220.0
07-07-1978,3220.0
07-08-1978,3240.0
07-09-1978,3250.0
07-10-1978,3245.0
07-11-1978,3247.5
07-12-1978,3240.0
07-13-1978,3250.0
07-14-1978,3262.5
07-15-1978,3237.5
07-16-1978,3285.0
07-17-1978,3312.5
07-18-1978,3315.0
07-19-1978,3322.5
07-20-1978,3297.5
07-21-1978,3307.5
07-22-1978,3257.5
07-23-1978,3230.0
07-24-1978,3230.0
