Date,Value
12-14-2011,5695.0
12-15-2011,5702.5
12-16-2011,5735.0
12-17-2011,5760.0
12-18-2011,5820.0
12-19-2011,5847.5
12-20-2011,5805.0
12-21-2011,5800.0
12-22-2011,5845.0
12-23-2011,5875.0
12-24-2011,5900.0
12-25-2011,5897.5
12-26-2011,5950.0
12-27-2011,5952.5
12-28-2011,5837.5
12-29-2011,5797.5
12-30-2011,5875.0
12-31-2011,5857.5
01-01-2012,5795.0
01-02-2012,5705.0
01-03-2012,5692.5
01-04-2012,5685.0
01-05-2012,5632.5
01-06-2012,5690.0
01-07-2012,5677.5
01-08-2012,5745.0
01-09-2012,5735.0
01-10-2012,5710.0
01-11-2012,5760.0
01-12-2012,5780.0
01-13-2012,5757.5
01-14-2012,5750.0
01-15-2012,5807.5
01-16-2012,5797.5
01-17-2012,5792.5
01-18-2012,5780.0
01-19-2012,5747.5
01-20-2012,5715.0
01-21-2012,5697.5
01-22-2012,5677.5
01-23-2012,5730.0
01-24-2012,5702.5
01-25-2012,5632.5
01-26-2012,5682.5
01-27-2012,5655.0
01-28-2012,5642.5
01-29-2012,5635.0
01-30-2012,5607.5
01-31-2012,5625.0
02-01-2012,5590.0
02-02-2012,5607.5
02-03-2012,5647.5
02-04-2012,5677.5
02-05-2012,5685.0
02-06-2012,5675.0
02-07-2012,5620.0
02-08-2012,5607.5
02-09-2012,5590.0
02-10-2012,5620.0
02-11-2012,5640.0
02-12-2012,5640.0
02-13-2012,5642.5
02-14-2012,5675.0
02-15-2012,5652.5
02-16-2012,5665.0
02-17-2012,5622.5
02-18-2012,5610.0
02-19-2012,5592.5
02-20-2012,5582.5
02-21-2012,5562.5
02-22-2012,5505.0
02-23-2012,5372.5
02-24-2012,5292.5
02-25-2012,5477.5
02-26-2012,5535.0
02-27-2012,5570.0
02-28-2012,5592.5
02-29-2012,5622.5
03-01-2012,5552.5
03-02-2012,5525.0
03-03-2012,5522.5
03-04-2012,5532.5
03-05-2012,5460.0
03-06-2012,5372.5
03-07-2012,5360.0
03-08-2012,5342.5
03-09-2012,5432.5
03-10-2012,5367.5
03-11-2012,5450.0
03-12-2012,5410.0
03-13-2012,5400.0
03-14-2012,5377.5
03-15-2012,5405.0
03-16-2012,5445.0
03-17-2012,5422.5
03-18-2012,5395.0
03-19-2012,5417.5
03-20-2012,5375.0
03-21-2012,5362.5
03-22-2012,5397.5
03-23-2012,5292.5
03-24-2012,5232.5
03-25-2012,5240.0
03-26-2012,5237.5
03-27-2012,5252.5
03-28-2012,5347.5
03-29-2012,5370.0
03-30-2012,5367.5
03-31-2012,5355.0
04-01-2012,5265.0
04-02-2012,5335.0
04-03-2012,5300.0
04-04-2012,5337.5
04-05-2012,5290.0
04-06-2012,5342.5
04-07-2012,5305.0
04-08-2012,5242.5
04-09-2012,5355.0
04-10-2012,5265.0
04-11-2012,5400.0
04-12-2012,5490.0
04-13-2012,5510.0
04-14-2012,5465.0
04-15-2012,5405.0
04-16-2012,5315.0
04-17-2012,5317.5
04-18-2012,5220.0
04-19-2012,5440.0
04-20-2012,5585.0
04-21-2012,5550.0
04-22-2012,5455.0
04-23-2012,5475.0
04-24-2012,5560.0
04-25-2012,5567.5
04-26-2012,5577.5
04-27-2012,5477.5
04-28-2012,5567.5
04-29-2012,5667.5
04-30-2012,5730.0
05-01-2012,5760.0
05-02-2012,5665.0
05-03-2012,5777.5
05-04-2012,5715.0
05-05-2012,5685.0
05-06-2012,5822.5
05-07-2012,5822.5
05-08-2012,5890.0
05-09-2012,5852.5
05-10-2012,5847.5
05-11-2012,5597.5
05-12-2012,5697.5
05-13-2012,5677.5
05-14-2012,5670.0
05-15-2012,5697.5
05-16-2012,5650.0
05-17-2012,5712.5
05-18-2012,5840.0
05-19-2012,5837.5
05-20-2012,5822.5
05-21-2012,5852.5
05-22-2012,5847.5
05-23-2012,5835.0
05-24-2012,5860.0
05-25-2012,5890.0
05-26-2012,5890.0
05-27-2012,5905.0
05-28-2012,5890.0
05-29-2012,5920.0
05-30-2012,5917.5
05-31-2012,5930.0
06-01-2012,5912.5
06-02-2012,6000.0
06-03-2012,6050.0
06-04-2012,6032.5
06-05-2012,6012.5
06-06-2012,6012.5
06-07-2012,6047.5
06-08-2012,6045.0
06-09-2012,6040.0
06-10-2012,6030.0
06-11-2012,6072.5
06-12-2012,6115.0
06-13-2012,6115.0
06-14-2012,6107.5
06-15-2012,6095.0
06-16-2012,6077.5
06-17-2012,6092.5
06-18-2012,6085.0
06-19-2012,6107.5
06-20-2012,6122.5
06-21-2012,5977.5
06-22-2012,5905.0
06-23-2012,6042.5
06-24-2012,6025.0
06-25-2012,6075.0
06-26-2012,6095.0
06-27-2012,6095.0
06-28-2012,6157.5
06-29-2012,6060.0
06-30-2012,6235.0
07-01-2012,6167.5
07-02-2012,6177.5
07-03-2012,6192.5
07-04-2012,6165.0
07-05-2012,6135.0
07-06-2012,6155.0
07-07-2012,6142.5
07-08-2012,6170.0
07-09-2012,6247.5
07-10-2012,6212.5
07-11-2012,6152.5
07-12-2012,6160.0
07-13-2012,6175.0
07-14-2012,6220.0
07-15-2012,6187.5
07-16-2012,6217.5
07-17-2012,6200.0
07-18-2012,6220.0
07-19-2012,6207.5
07-20-2012,6220.0
07-21-2012,6212.5
07-22-2012,6217.5
07-23-2012,6202.5
07-24-2012,6217.5
07-25-2012,6185.0
07-26-2012,6162.5
07-27-2012,6192.5
07-28-2012,6205.0
07-29-2012,6182.5
07-30-2012,6130.0
07-31-2012,6060.0
08-01-2012,6055.0
08-02-2012,6035.0
08-03-2012,6005.0
08-04-2012,6000.0
08-05-2012,6000.0
08-06-2012,6000.0
08-07-2012,5990.0
08-08-2012,5997.5
08-09-2012,6072.5
08-10-2012,6095.0
08-11-2012,6107.5
08-12-2012,6075.0
08-13-2012,6075.0
08-14-2012,6052.5
08-15-2012,6067.5
08-16-2012,6127.5
08-17-2012,6125.0
08-18-2012,6107.5
08-19-2012,6090.0
08-20-2012,6090.0
08-21-2012,6080.0
08-22-2012,6065.0
08-23-2012,6092.5
08-24-2012,6062.5
08-25-2012,6072.5
08-26-2012,6055.0
08-27-2012,6012.5
08-28-2012,6000.0
08-29-2012,6000.0
08-30-2012,5960.0
08-31-2012,5965.0
09-01-2012,5960.0
09-02-2012,5937.5
09-03-2012,5865.0
09-04-2012,5860.0
09-05-2012,5732.5
09-06-2012,5742.5
09-07-2012,5755.0
09-08-2012,5785.0
09-09-2012,5815.0
09-10-2012,5760.0
09-11-2012,5817.5
09-12-2012,5855.0
09-13-2012,5880.0
09-14-2012,5867.5
09-15-2012,5880.0
09-16-2012,5880.0
09-17-2012,5877.5
09-18-2012,5840.0
09-19-2012,5820.0
09-20-2012,5865.0
09-21-2012,5840.0
09-22-2012,5877.5
09-23-2012,5860.0
09-24-2012,5912.5
09-25-2012,5927.5
09-26-2012,5890.0
09-27-2012,5805.0
09-28-2012,5700.0
09-29-2012,5672.5
09-30-2012,5627.5
10-01-2012,5650.0
10-02-2012,5647.5
10-03-2012,5620.0
10-04-2012,5620.0
10-05-2012,5585.0
10-06-2012,5602.5
10-07-2012,5562.5
10-08-2012,5520.0
10-09-2012,5530.0
10-10-2012,5565.0
10-11-2012,5550.0
10-12-2012,5572.5
10-13-2012,5565.0
10-14-2012,5517.5
10-15-2012,5542.5
10-16-2012,5470.0
10-17-2012,5437.5
10-18-2012,5482.5
10-19-2012,5567.5
10-20-2012,5585.0
10-21-2012,5557.5
10-22-2012,5600.0
10-23-2012,5612.5
10-24-2012,5622.5
10-25-2012,5627.5
10-26-2012,5662.5
10-27-2012,5680.0
10-28-2012,5657.5
10-29-2012,5720.0
10-30-2012,5702.5
10-31-2012,5692.5
11-01-2012,5437.5
11-02-2012,5470.0
11-03-2012,5475.0
11-04-2012,5532.5
11-05-2012,5550.0
11-06-2012,5532.5
11-07-2012,5495.0
11-08-2012,5567.5
11-09-2012,5592.5
11-10-2012,5587.5
11-11-2012,5625.0
11-12-2012,5500.0
11-13-2012,5565.0
11-14-2012,5610.0
11-15-2012,5552.5
11-16-2012,5582.5
11-17-2012,5480.0
11-18-2012,5412.5
11-19-2012,5495.0
11-20-2012,5505.0
11-21-2012,5455.0
11-22-2012,5727.5
11-23-2012,5702.5
11-24-2012,5647.5
11-25-2012,5742.5
11-26-2012,5692.5
11-27-2012,5582.5
11-28-2012,5595.0
11-29-2012,5532.5
11-30-2012,5597.5
12-01-2012,5502.5
12-02-2012,5595.0
12-03-2012,5595.0
12-04-2012,5562.5
12-05-2012,5500.0
12-06-2012,5455.0
12-07-2012,5455.0
12-08-2012,5475.0
12-09-2012,5562.5
12-10-2012,5612.5
12-11-2012,5617.5
12-12-2012,5722.5
12-13-2012,5825.0
12-14-2012,5790.0
12-15-2012,5830.0
12-16-2012,5805.0
12-17-2012,5767.5
12-18-2012,5690.0
12-19-2012,5727.5
12-20-2012,5777.5
12-21-2012,5712.5
12-22-2012,5740.0
12-23-2012,5642.5
12-24-2012,5627.5
12-25-2012,5617.5
12-26-2012,5675.0
12-27-2012,5775.0
12-28-2012,5915.0
12-29-2012,5827.5
12-30-2012,5797.5
12-31-2012,5722.5
01-01-2013,5695.0
01-02-2013,5677.5
01-03-2013,5622.5
01-04-2013,5425.0
01-05-2013,5412.5
01-06-2013,5415.0
01-07-2013,5440.0
01-08-2013,5337.5
01-09-2013,5387.5
01-10-2013,5552.5
01-11-2013,5575.0
01-12-2013,5597.5
01-13-2013,5465.0
01-14-2013,5407.5
01-15-2013,5450.0
01-16-2013,5387.5
